"","year","month","all","ep","epu","ep_count","epu_count"
"342","2013",7,1178338,97.9264454392493,146.648832216982,928,74
"338","2013",8,1238681,83.2179383485311,139.504756799284,829,74
"348","2013",9,1212604,75.5736484725171,117.47017375997,737,61
"347","2013",10,1338416,76.923868163679,92.4701415684701,828,53
"346","2013",11,1213734,64.0292474186867,88.5015926974465,625,46
"339","2013",12,1162173,83.3467316179081,106.493195933398,779,53
"353","2014",1,1262800,97.2846384433762,114.64995508402,988,62
"352","2014",2,1188757,102.193523717272,129.64853714625,977,66
"356","2014",3,1249965,89.8280134904059,65.3863303631021,903,35
"349","2014",4,1269042,89.2615202311997,103.045446164669,911,56
"357","2014",5,1286042,103.164710805732,79.894024234753,1067,44
"355","2014",6,1164452,170.318174681891,200.537308370473,1595,100
"354","2014",7,1204747,113.738537295273,124.051178111448,1102,64
"350","2014",8,1186288,103.03511932145,94.4860889658959,983,48
"360","2014",9,1219524,92.2741653310734,84.2517824289724,905,44
"359","2014",10,1340686,119.642239529971,107.989464557772,1290,62
"358","2014",11,1183012,150.198285980624,104.617296356677,1429,53
"351","2014",12,1181037,120.127942481958,152.245335032766,1141,77
"365","2015",1,1234663,158.014305929537,166.437433882623,1569,88
"364","2015",2,1198449,100.018278293173,62.3515413155808,964,32
"368","2015",3,1301355,85.134152456843,118.430870955554,891,66
"361","2015",4,1337701,98.6230047357335,270.576091518398,1061,155
"369","2015",5,1273455,90.2215462883578,205.376709961018,924,112
"367","2015",6,1195706,111.166823059098,103.506645444202,1069,53
"366","2015",7,1202570,98.0211672108578,149.519257715636,948,77
"362","2015",8,1174780,147.122858305653,190.823326081777,1390,96
"372","2015",9,1226693,114.94737696367,108.506496564153,1134,57
"371","2015",10,1297672,103.102509299785,138.561496087681,1076,77
"370","2015",11,1168243,97.0696689957316,205.883152649588,912,103
"363","2015",12,1179918,118.134210697944,89.0589273262857,1121,45
"377","2016",1,1181798,95.3250067782737,116.580397991791,906,59
"376","2016",2,1180383,84.5891180648143,71.2190747667334,803,36
"380","2016",3,1311944,76.3909026808421,72.9768866816814,806,41
"373","2016",4,1284437,91.3862979775636,83.6299422323107,944,46
"381","2016",5,1289978,85.2102538610011,39.8251252017128,884,22
"379","2016",6,1218408,71.7438173541737,90.0786541200555,703,47
"378","2016",7,1144682,60.9396429653105,83.640337334484,561,41
"374","2016",8,1223039,57.9504012732732,103.102744634939,570,54
